event_id,experiment_id,user_id,variant,event_type,event_value,event_ts
exp_1001_e69,exp_1001,40218,control,revenue,18.85,2026-04-21 18:45:37
exp_1001_e70,exp_1001,41916,control,conversion,1.0,2026-04-16 23:25:23
exp_1001_e71,exp_1001,41916,control,revenue,21.66,2026-04-16 23:25:23
exp_1001_e72,exp_1001,41916,control,error_rate,1.0,2026-04-17 08:25:23
exp_1001_e73,exp_1001,9741,control,conversion,1.0,2026-04-12 17:20:30
exp_1001_e74,exp_1001,9741,control,revenue,19.03,2026-04-12 17:20:30
exp_1001_e75,exp_1001,17341,control,conversion,1.0,2026-04-27 04:59:25
exp_1001_e76,exp_1001,17341,control,revenue,16.72,2026-04-27 04:59:25
exp_1001_e77,exp_1001,17341,control,error_rate,1.0,2026-04-27 12:59:25
exp_1001_e78,exp_1001,13541,control,conversion,1.0,2026-04-11 18:00:15
exp_1001_e79,exp_1001,13541,control,revenue,21.96,2026-04-11 18:00:15
exp_1001_e80,exp_1001,38197,treatment,conversion,1.0,2026-04-07 07:42:09
exp_1001_e81,exp_1001,38197,treatment,revenue,18.5,2026-04-07 07:42:09
exp_1001_e82,exp_1001,25199,treatment,conversion,1.0,2026-04-11 08:20:38
exp_1001_e83,exp_1001,25199,treatment,revenue,25.96,2026-04-11 08:20:38
exp_1001_e84,exp_1001,23699,treatment,conversion,1.0,2026-04-14 23:58:52
exp_1001_e85,exp_1001,23699,treatment,revenue,10.12,2026-04-14 23:58:52
exp_1001_e86,exp_1001,41268,control,conversion,1.0,2026-04-23 17:46:37
exp_1001_e87,exp_1001,41268,control,revenue,14.15,2026-04-23 17:46:37
exp_1001_e88,exp_1001,458,treatment,error_rate,1.0,2026-04-19 03:58:50
exp_1001_e89,exp_1001,20927,treatment,conversion,1.0,2026-04-18 15:54:00
exp_1001_e90,exp_1001,20927,treatment,revenue,7.57,2026-04-18 15:54:00
exp_1001_e91,exp_1001,30296,control,conversion,1.0,2026-05-05 09:20:10
exp_1001_e92,exp_1001,30296,control,revenue,13.31,2026-05-05 09:20:10
exp_1001_e93,exp_1001,37637,control,application_success_rate_fail,1.0,2026-04-23 00:09:51
exp_1001_e94,exp_1001,28393,control,conversion,1.0,2026-05-02 03:30:24
exp_1001_e95,exp_1001,28393,control,revenue,19.67,2026-05-02 03:30:24
exp_1001_e96,exp_1001,12344,control,application_success_rate_fail,1.0,2026-04-16 01:51:03
exp_1001_e97,exp_1001,36473,control,conversion,1.0,2026-04-24 13:44:01
exp_1001_e98,exp_1001,36473,control,revenue,24.46,2026-04-24 13:44:01
exp_1001_e99,exp_1001,35981,control,conversion,1.0,2026-04-24 23:08:49
exp_1001_e100,exp_1001,35981,control,revenue,14.72,2026-04-24 23:08:49
exp_1001_e101,exp_1001,15224,treatment,application_success_rate_fail,1.0,2026-04-25 19:51:29
exp_1001_e102,exp_1001,7499,treatment,conversion,1.0,2026-04-14 15:39:20
exp_1001_e103,exp_1001,7499,treatment,revenue,16.1,2026-04-14 15:39:20
exp_1001_e104,exp_1001,34430,treatment,conversion,1.0,2026-04-18 08:06:07
exp_1001_e105,exp_1001,34430,treatment,revenue,25.14,2026-04-18 08:06:07
exp_1001_e106,exp_1001,19152,control,conversion,1.0,2026-04-12 16:42:56
exp_1001_e107,exp_1001,19152,control,revenue,24.31,2026-04-12 16:42:56
exp_1001_e108,exp_1001,19071,treatment,conversion,1.0,2026-04-28 11:00:29
exp_1001_e109,exp_1001,19071,treatment,revenue,27.21,2026-04-28 11:00:29
exp_1001_e110,exp_1001,15393,treatment,conversion,1.0,2026-04-06 19:40:13
exp_1001_e111,exp_1001,15393,treatment,revenue,18.39,2026-04-06 19:40:13
exp_1001_e112,exp_1001,5119,control,error_rate,1.0,2026-04-14 04:53:39
exp_1001_e113,exp_1001,15786,control,conversion,1.0,2026-04-21 04:15:36
exp_1001_e114,exp_1001,15786,control,revenue,22.32,2026-04-21 04:15:36
exp_1001_e115,exp_1001,186,treatment,conversion,1.0,2026-04-18 00:07:40
exp_1001_e116,exp_1001,186,treatment,revenue,26.56,2026-04-18 00:07:40
exp_1001_e117,exp_1001,37031,control,conversion,1.0,2026-04-21 03:11:35
exp_1001_e118,exp_1001,37031,control,revenue,23.1,2026-04-21 03:11:35
exp_1001_e119,exp_1001,31954,control,application_success_rate_fail,1.0,2026-04-21 13:17:55
exp_1001_e120,exp_1001,28208,treatment,conversion,1.0,2026-04-29 23:51:25
exp_1001_e121,exp_1001,28208,treatment,revenue,17.89,2026-04-29 23:51:25
exp_1001_e122,exp_1001,4521,treatment,conversion,1.0,2026-05-01 01:49:40
exp_1001_e123,exp_1001,4521,treatment,revenue,11.15,2026-05-01 01:49:40
exp_1001_e124,exp_1001,9216,control,conversion,1.0,2026-04-24 13:34:13
exp_1001_e125,exp_1001,9216,control,revenue,18.06,2026-04-24 13:34:13
exp_1001_e126,exp_1001,30840,control,conversion,1.0,2026-04-21 09:03:11
exp_1001_e127,exp_1001,30840,control,revenue,22.77,2026-04-21 09:03:11
exp_1001_e128,exp_1001,33257,treatment,conversion,1.0,2026-04-16 23:17:00
exp_1001_e129,exp_1001,33257,treatment,revenue,11.4,2026-04-16 23:17:00
exp_1001_e130,exp_1001,19125,control,application_success_rate_fail,1.0,2026-04-29 17:35:25
exp_1001_e131,exp_1001,28183,control,conversion,1.0,2026-05-03 21:15:22
exp_1001_e132,exp_1001,28183,control,revenue,8.85,2026-05-03 21:15:22
exp_1001_e133,exp_1001,11045,treatment,conversion,1.0,2026-04-26 14:00:58
exp_1001_e134,exp_1001,11045,treatment,revenue,30.49,2026-04-26 14:00:58
exp_1001_e135,exp_1001,33493,control,conversion,1.0,2026-04-21 03:22:16
exp_1001_e136,exp_1001,33493,control,revenue,5.43,2026-04-21 03:22:16
exp_1001_e137,exp_1001,20097,treatment,conversion,1.0,2026-04-19 22:49:57
exp_1001_e138,exp_1001,20097,treatment,revenue,0.8,2026-04-19 22:49:57
exp_1001_e139,exp_1001,37697,control,application_success_rate_fail,1.0,2026-04-09 23:38:57
exp_1001_e140,exp_1001,16603,control,conversion,1.0,2026-04-30 19:57:40
exp_1001_e141,exp_1001,16603,control,revenue,9.22,2026-04-30 19:57:40
exp_1001_e142,exp_1001,39574,treatment,conversion,1.0,2026-04-08 08:06:52
exp_1001_e143,exp_1001,39574,treatment,revenue,27.83,2026-04-08 08:06:52
exp_1001_e144,exp_1001,39574,treatment,error_rate,1.0,2026-04-10 06:06:52
exp_1001_e145,exp_1001,2007,treatment,conversion,1.0,2026-04-16 07:59:35
exp_1001_e146,exp_1001,2007,treatment,revenue,22.22,2026-04-16 07:59:35
exp_1001_e147,exp_1001,7385,control,conversion,1.0,2026-05-04 23:31:54
exp_1001_e148,exp_1001,7385,control,revenue,17.93,2026-05-04 23:31:54
exp_1001_e149,exp_1001,1090,control,conversion,1.0,2026-04-28 09:42:02
exp_1001_e150,exp_1001,1090,control,revenue,16.88,2026-04-28 09:42:02
exp_1001_e151,exp_1001,30561,control,application_success_rate_fail,1.0,2026-04-06 02:30:38
exp_1001_e152,exp_1001,21649,control,conversion,1.0,2026-04-18 10:04:32
exp_1001_e153,exp_1001,21649,control,revenue,8.14,2026-04-18 10:04:32
exp_1001_e154,exp_1001,18051,control,conversion,1.0,2026-04-17 15:47:19
exp_1001_e155,exp_1001,18051,control,revenue,6.64,2026-04-17 15:47:19
exp_1001_e156,exp_1001,23444,treatment,conversion,1.0,2026-04-16 06:19:58
exp_1001_e157,exp_1001,23444,treatment,revenue,15.87,2026-04-16 06:19:58
exp_1001_e158,exp_1001,39197,treatment,conversion,1.0,2026-04-10 07:18:10
exp_1001_e159,exp_1001,39197,treatment,revenue,16.68,2026-04-10 07:18:10
exp_1001_e160,exp_1001,39197,treatment,error_rate,1.0,2026-04-10 17:18:10
exp_1001_e161,exp_1001,19428,treatment,conversion,1.0,2026-04-10 18:36:32
exp_1001_e162,exp_1001,19428,treatment,revenue,16.52,2026-04-10 18:36:32
exp_1001_e163,exp_1001,34192,control,conversion,1.0,2026-04-15 04:36:39
exp_1001_e164,exp_1001,34192,control,revenue,14.13,2026-04-15 04:36:39
exp_1001_e165,exp_1001,34192,control,application_success_rate_fail,1.0,2026-04-15 07:36:39
exp_1001_e166,exp_1001,4761,control,conversion,1.0,2026-04-30 17:52:18
exp_1001_e167,exp_1001,4761,control,revenue,22.64,2026-04-30 17:52:18
exp_1001_e168,exp_1001,33769,control,conversion,1.0,2026-05-01 12:53:31
exp_1001_e169,exp_1001,33769,control,revenue,18.99,2026-05-01 12:53:31
exp_1001_e170,exp_1001,21061,control,conversion,1.0,2026-04-16 11:18:38
exp_1001_e171,exp_1001,21061,control,revenue,18.77,2026-04-16 11:18:38
exp_1001_e172,exp_1001,4407,treatment,conversion,1.0,2026-04-15 09:29:22
exp_1001_e173,exp_1001,4407,treatment,revenue,18.08,2026-04-15 09:29:22
exp_1001_e174,exp_1001,9566,control,conversion,1.0,2026-04-22 07:38:14
exp_1001_e175,exp_1001,9566,control,revenue,13.98,2026-04-22 07:38:14
exp_1001_e176,exp_1001,8560,treatment,conversion,1.0,2026-04-07 02:27:48
exp_1001_e177,exp_1001,8560,treatment,revenue,15.75,2026-04-07 02:27:48
exp_1001_e178,exp_1001,38598,treatment,conversion,1.0,2026-04-28 13:00:32
exp_1001_e179,exp_1001,38598,treatment,revenue,17.51,2026-04-28 13:00:32
exp_1001_e180,exp_1001,25612,treatment,application_success_rate_fail,1.0,2026-04-20 15:55:55
exp_1001_e181,exp_1001,11667,treatment,conversion,1.0,2026-04-17 07:54:04
exp_1001_e182,exp_1001,11667,treatment,revenue,25.94,2026-04-17 07:54:04
exp_1001_e183,exp_1001,11916,control,conversion,1.0,2026-04-22 18:43:25
exp_1001_e184,exp_1001,11916,control,revenue,21.15,2026-04-22 18:43:25
exp_1001_e185,exp_1001,37645,control,conversion,1.0,2026-04-23 14:58:56
exp_1001_e186,exp_1001,37645,control,revenue,19.72,2026-04-23 14:58:56
exp_1001_e187,exp_1001,37645,control,application_success_rate_fail,1.0,2026-04-23 21:58:56
exp_1001_e188,exp_1001,37396,treatment,conversion,1.0,2026-05-03 08:07:58
exp_1001_e189,exp_1001,37396,treatment,revenue,21.72,2026-05-03 08:07:58
exp_1001_e190,exp_1001,39768,treatment,conversion,1.0,2026-04-11 15:48:11
exp_1001_e191,exp_1001,39768,treatment,revenue,22.63,2026-04-11 15:48:11
exp_1001_e192,exp_1001,7639,treatment,conversion,1.0,2026-05-02 15:56:36
exp_1001_e193,exp_1001,7639,treatment,revenue,18.27,2026-05-02 15:56:36
exp_1001_e194,exp_1001,90,treatment,conversion,1.0,2026-04-18 17:23:51
exp_1001_e195,exp_1001,90,treatment,revenue,7.03,2026-04-18 17:23:51
exp_1001_e196,exp_1001,6119,treatment,conversion,1.0,2026-04-12 09:56:04
exp_1001_e197,exp_1001,6119,treatment,revenue,27.88,2026-04-12 09:56:04
exp_1001_e198,exp_1001,19118,control,conversion,1.0,2026-04-18 12:01:07
exp_1001_e199,exp_1001,19118,control,revenue,21.97,2026-04-18 12:01:07
exp_1001_e200,exp_1001,27574,control,conversion,1.0,2026-04-21 15:44:36
exp_1001_e201,exp_1001,27574,control,revenue,15.67,2026-04-21 15:44:36
exp_1001_e202,exp_1001,27574,control,application_success_rate_fail,1.0,2026-04-22 06:44:36
exp_1001_e203,exp_1001,8956,treatment,conversion,1.0,2026-04-18 23:51:30
exp_1001_e204,exp_1001,8956,treatment,revenue,12.15,2026-04-18 23:51:30
exp_1001_e205,exp_1001,6918,treatment,crash_rate,1.0,2026-04-03 18:21:25
exp_1001_e206,exp_1001,37724,treatment,conversion,1.0,2026-04-22 11:30:02
exp_1001_e207,exp_1001,37724,treatment,revenue,10.41,2026-04-22 11:30:02
exp_1001_e208,exp_1001,38451,control,error_rate,1.0,2026-04-19 09:28:13
exp_1001_e209,exp_1001,17646,treatment,conversion,1.0,2026-04-21 06:09:26
exp_1001_e210,exp_1001,17646,treatment,revenue,26.29,2026-04-21 06:09:26
exp_1001_e211,exp_1001,30320,control,conversion,1.0,2026-04-15 18:51:18
exp_1001_e212,exp_1001,30320,control,revenue,21.34,2026-04-15 18:51:18
exp_1001_e213,exp_1001,41926,treatment,conversion,1.0,2026-04-28 13:27:27
exp_1001_e214,exp_1001,41926,treatment,revenue,15.15,2026-04-28 13:27:27
exp_1001_e215,exp_1001,10173,control,conversion,1.0,2026-04-30 15:38:35
exp_1001_e216,exp_1001,10173,control,revenue,20.75,2026-04-30 15:38:35
exp_1001_e217,exp_1001,26098,control,application_success_rate_fail,1.0,2026-04-19 07:27:26
exp_1001_e218,exp_1001,11068,treatment,conversion,1.0,2026-04-27 02:01:36
exp_1001_e219,exp_1001,11068,treatment,revenue,20.36,2026-04-27 02:01:36
exp_1001_e220,exp_1001,41527,control,conversion,1.0,2026-04-14 17:54:27
exp_1001_e221,exp_1001,41527,control,revenue,21.8,2026-04-14 17:54:27
exp_1001_e222,exp_1001,24508,control,conversion,1.0,2026-04-12 21:07:51
exp_1001_e223,exp_1001,24508,control,revenue,28.02,2026-04-12 21:07:51
exp_1001_e224,exp_1001,21803,treatment,conversion,1.0,2026-04-13 00:29:09
exp_1001_e225,exp_1001,21803,treatment,revenue,9.14,2026-04-13 00:29:09
exp_1001_e226,exp_1001,24879,control,conversion,1.0,2026-04-12 19:20:26
exp_1001_e227,exp_1001,24879,control,revenue,18.01,2026-04-12 19:20:26
exp_1001_e228,exp_1001,24879,control,application_success_rate_fail,1.0,2026-04-14 14:20:26
exp_1001_e229,exp_1001,25913,treatment,application_success_rate_fail,1.0,2026-05-04 01:07:04
exp_1001_e230,exp_1001,6025,control,conversion,1.0,2026-04-29 02:24:16
exp_1001_e231,exp_1001,6025,control,revenue,32.64,2026-04-29 02:24:16
exp_1001_e232,exp_1001,35489,control,conversion,1.0,2026-04-15 18:29:21
exp_1001_e233,exp_1001,35489,control,revenue,14.4,2026-04-15 18:29:21
exp_1001_e234,exp_1001,14225,treatment,conversion,1.0,2026-04-13 20:56:20
exp_1001_e235,exp_1001,14225,treatment,revenue,8.3,2026-04-13 20:56:20
exp_1001_e236,exp_1001,7851,treatment,application_success_rate_fail,1.0,2026-04-06 03:40:30
exp_1001_e237,exp_1001,33071,control,conversion,1.0,2026-04-17 09:43:15
exp_1001_e238,exp_1001,33071,control,revenue,26.06,2026-04-17 09:43:15
exp_1001_e239,exp_1001,4246,treatment,conversion,1.0,2026-04-11 12:12:36
exp_1001_e240,exp_1001,4246,treatment,revenue,26.32,2026-04-11 12:12:36
exp_1001_e241,exp_1001,25070,control,error_rate,1.0,2026-04-16 22:45:29
exp_1001_e242,exp_1001,25170,treatment,conversion,1.0,2026-04-21 07:01:01
exp_1001_e243,exp_1001,25170,treatment,revenue,19.24,2026-04-21 07:01:01
exp_1001_e244,exp_1001,20199,control,conversion,1.0,2026-05-05 15:29:54
exp_1001_e245,exp_1001,20199,control,revenue,18.05,2026-05-05 15:29:54
exp_1001_e246,exp_1001,27296,control,error_rate,1.0,2026-04-21 18:08:49
exp_1001_e247,exp_1001,13953,treatment,conversion,1.0,2026-04-11 12:21:40
exp_1001_e248,exp_1001,13953,treatment,revenue,32.05,2026-04-11 12:21:40
exp_1001_e249,exp_1001,38916,treatment,conversion,1.0,2026-04-25 18:57:50
exp_1001_e250,exp_1001,38916,treatment,revenue,3.41,2026-04-25 18:57:50
exp_1001_e251,exp_1001,32479,treatment,application_success_rate_fail,1.0,2026-04-26 18:04:15
exp_1001_e252,exp_1001,35112,control,conversion,1.0,2026-04-11 14:30:57
exp_1001_e253,exp_1001,35112,control,revenue,28.3,2026-04-11 14:30:57
exp_1001_e254,exp_1001,2650,treatment,application_success_rate_fail,1.0,2026-04-08 16:15:50
exp_1001_e255,exp_1001,35211,control,conversion,1.0,2026-04-20 01:12:12
exp_1001_e256,exp_1001,35211,control,revenue,17.92,2026-04-20 01:12:12
exp_1001_e257,exp_1001,5727,control,conversion,1.0,2026-04-10 23:11:28
exp_1001_e258,exp_1001,5727,control,revenue,7.03,2026-04-10 23:11:28
exp_1001_e259,exp_1001,8432,control,conversion,1.0,2026-04-25 20:00:27
exp_1001_e260,exp_1001,8432,control,revenue,10.38,2026-04-25 20:00:27
exp_1001_e261,exp_1001,21088,treatment,conversion,1.0,2026-04-11 18:47:36
exp_1001_e262,exp_1001,21088,treatment,revenue,14.28,2026-04-11 18:47:36
exp_1001_e263,exp_1001,40620,control,crash_rate,1.0,2026-04-10 20:28:23
exp_1001_e264,exp_1001,30462,treatment,crash_rate,1.0,2026-04-18 15:31:53
exp_1001_e265,exp_1001,40686,treatment,error_rate,1.0,2026-04-20 17:29:58
exp_1001_e266,exp_1001,40686,treatment,application_success_rate_fail,1.0,2026-04-20 05:29:58
exp_1001_e267,exp_1001,15714,treatment,crash_rate,1.0,2026-04-21 16:01:10
exp_1001_e268,exp_1001,18634,control,conversion,1.0,2026-04-08 17:27:02
exp_1001_e269,exp_1001,18634,control,revenue,24.81,2026-04-08 17:27:02
exp_1001_e270,exp_1001,30025,treatment,conversion,1.0,2026-04-06 21:37:28
exp_1001_e271,exp_1001,30025,treatment,revenue,13.97,2026-04-06 21:37:28
exp_1001_e272,exp_1001,16860,treatment,conversion,1.0,2026-04-18 23:04:50
exp_1001_e273,exp_1001,16860,treatment,revenue,11.59,2026-04-18 23:04:50
exp_1001_e274,exp_1001,31767,treatment,conversion,1.0,2026-05-02 02:52:03
exp_1001_e275,exp_1001,31767,treatment,revenue,26.5,2026-05-02 02:52:03
exp_1001_e276,exp_1001,17295,control,conversion,1.0,2026-04-25 22:24:24
exp_1001_e277,exp_1001,17295,control,revenue,25.43,2026-04-25 22:24:24
exp_1001_e278,exp_1001,26127,control,conversion,1.0,2026-04-20 10:30:41
exp_1001_e279,exp_1001,26127,control,revenue,21.93,2026-04-20 10:30:41
exp_1001_e280,exp_1001,12601,treatment,conversion,1.0,2026-04-13 07:00:08
exp_1001_e281,exp_1001,12601,treatment,revenue,14.23,2026-04-13 07:00:08
exp_1001_e282,exp_1001,11458,treatment,conversion,1.0,2026-04-11 19:04:59
exp_1001_e283,exp_1001,11458,treatment,revenue,19.66,2026-04-11 19:04:59
exp_1001_e284,exp_1001,8949,control,conversion,1.0,2026-04-09 12:28:58
exp_1001_e285,exp_1001,8949,control,revenue,22.12,2026-04-09 12:28:58
exp_1001_e286,exp_1001,10745,treatment,conversion,1.0,2026-04-25 02:58:19
exp_1001_e287,exp_1001,10745,treatment,revenue,12.85,2026-04-25 02:58:19
exp_1001_e288,exp_1001,10745,treatment,application_success_rate_fail,1.0,2026-04-25 15:58:19
exp_1001_e289,exp_1001,41811,treatment,conversion,1.0,2026-05-01 17:29:43
exp_1001_e290,exp_1001,41811,treatment,revenue,25.43,2026-05-01 17:29:43
exp_1001_e291,exp_1001,39240,treatment,conversion,1.0,2026-04-22 00:10:26
exp_1001_e292,exp_1001,39240,treatment,revenue,18.47,2026-04-22 00:10:26
exp_1001_e293,exp_1001,41188,treatment,conversion,1.0,2026-04-12 00:10:53
exp_1001_e294,exp_1001,41188,treatment,revenue,8.16,2026-04-12 00:10:53
exp_1001_e295,exp_1001,26285,control,conversion,1.0,2026-04-16 23:07:32
exp_1001_e296,exp_1001,26285,control,revenue,30.04,2026-04-16 23:07:32
exp_1001_e297,exp_1001,26285,control,error_rate,1.0,2026-04-18 20:07:32
exp_1001_e298,exp_1001,41447,treatment,application_success_rate_fail,1.0,2026-04-14 10:33:26
exp_1001_e299,exp_1001,40768,control,conversion,1.0,2026-04-17 17:34:23
exp_1001_e300,exp_1001,40768,control,revenue,8.26,2026-04-17 17:34:23
exp_1001_e301,exp_1001,29432,treatment,conversion,1.0,2026-04-12 08:28:17
exp_1001_e302,exp_1001,29432,treatment,revenue,8.87,2026-04-12 08:28:17
exp_1001_e303,exp_1001,35959,control,conversion,1.0,2026-04-21 10:03:09
exp_1001_e304,exp_1001,35959,control,revenue,10.03,2026-04-21 10:03:09
exp_1001_e305,exp_1001,8105,treatment,conversion,1.0,2026-04-20 14:08:19
exp_1001_e306,exp_1001,8105,treatment,revenue,23.12,2026-04-20 14:08:19
exp_1001_e307,exp_1001,35329,treatment,conversion,1.0,2026-04-21 11:46:42
exp_1001_e308,exp_1001,35329,treatment,revenue,21.61,2026-04-21 11:46:42
exp_1001_e309,exp_1001,20476,control,application_success_rate_fail,1.0,2026-04-30 02:14:53
exp_1001_e310,exp_1001,39818,control,conversion,1.0,2026-04-28 00:44:46
exp_1001_e311,exp_1001,39818,control,revenue,5.56,2026-04-28 00:44:46
exp_1001_e312,exp_1001,21925,control,conversion,1.0,2026-05-04 15:14:59
exp_1001_e313,exp_1001,21925,control,revenue,18.24,2026-05-04 15:14:59
exp_1001_e314,exp_1001,30831,control,application_success_rate_fail,1.0,2026-04-13 03:50:23
exp_1001_e315,exp_1001,1165,treatment,conversion,1.0,2026-04-08 12:00:57
exp_1001_e316,exp_1001,1165,treatment,revenue,13.87,2026-04-08 12:00:57
exp_1001_e317,exp_1001,31005,treatment,conversion,1.0,2026-04-10 20:34:51
exp_1001_e318,exp_1001,31005,treatment,revenue,25.83,2026-04-10 20:34:51
exp_1001_e319,exp_1001,6816,control,conversion,1.0,2026-04-16 06:37:08
exp_1001_e320,exp_1001,6816,control,revenue,6.86,2026-04-16 06:37:08
exp_1001_e321,exp_1001,6816,control,crash_rate,1.0,2026-04-17 22:37:08
exp_1001_e322,exp_1001,26369,treatment,conversion,1.0,2026-04-02 15:40:16
exp_1001_e323,exp_1001,26369,treatment,revenue,20.4,2026-04-02 15:40:16
exp_1001_e324,exp_1001,29183,control,conversion,1.0,2026-04-20 11:13:08
exp_1001_e325,exp_1001,29183,control,revenue,18.69,2026-04-20 11:13:08
exp_1001_e326,exp_1001,24181,control,conversion,1.0,2026-04-21 13:49:17
